TOT_POP,0-9,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,POP_ESTIMATE_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,POVALL_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Family Medicine/General Practice Primary Care (2019),ICU Beds_x,Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
33683,4195,4050,4209,4448,4701,4059,2447,1110,30357,229,29,33683,3363,9354,6262,4702,15332,14804,528,12.36865795,0,31753,7297,25784,13531,10288,2765,3491,836,2192
94340,12386,11804,12781,11822,12496,11763,6669,3076,79589,948,49,94340,6556,22132,19668,10032,47485,45949,1536,34.64237719,65,87606,18777,72246,33428,24491,6690,9262,2208,5596
12306,1331,1280,1332,1601,1837,1722,1288,448,11778,42,4,12306,1334,3901,2451,2153,5061,4833,228,4.518858318,0,11830,3343,9794,5062,3614,1218,1471,356,1009
46357,5062,5326,4966,5574,6562,6599,4677,1893,43930,218,28,46357,6822,13004,8401,7151,19943,19203,740,17.02264871,0,45698,12263,36589,20082,14270,4873,5697,1429,4000
14523,331,374,532,389,1635,15734,8435,3902,2795,31,0,14523,9090,516,563,502,2693,1126,31,75.62643187,21,192120,25156,150965,68403,55253,10643,16257,3714,8384
6411,584,712,663,863,914,918,650,335,6066,53,1,6411,655,1912,1044,575,3536,3429,107,2.354168753,0,6302,1856,5197,2564,1840,581,724,183,503
21579,2086,2909,2662,3001,3096,2803,1730,804,20305,69,14,21579,2930,7878,3698,3919,7860,7509,351,7.923975592,0,21639,5004,17438,9405,6557,2317,2655,644,1829
30267,3533,3526,3362,3773,4031,4061,2834,1456,26237,141,32,30267,3541,9580,5057,5267,12291,11683,608,11.11427635,7,30659,7883,23707,12664,8819,3033,3804,919,2491
22068,2357,2686,2299,2796,3069,3024,2118,975,21494,76,2,22068,3146,6963,3268,3251,9818,9449,369,8.103540172,6,21995,5857,17405,9034,6388,2266,2594,655,1860
8064,1004,945,858,959,1052,1114,800,389,7563,48,1,8064,1439,1976,1514,1390,3233,3094,139,2.96116313,0,7882,2130,6280,3470,2437,928,1071,269,762
5082,447,445,453,556,817,836,634,330,4999,5,4,5082,906,1563,1021,797,2446,2353,93,1.866149681,0,5071,1699,4181,2233,1488,613,704,180,526
16898,1676,1837,1756,2290,2580,2351,1639,788,16308,65,12,16898,2402,4772,3680,2623,7281,6976,305,6.205076211,0,16722,4308,13592,7621,5233,1768,2055,511,1448
78843,8958,14081,9220,8872,9473,8654,5998,3047,73721,1210,112,78843,6860,18133,11564,10996,34330,33111,1219,28.95175901,38,75565,16721,62388,27636,19278,6271,7459,1953,5182
33044,3898,4128,3727,4020,4452,4199,2849,1297,31277,196,22,33044,4785,8192,5728,5886,13026,12295,731,12.13401221,3,32478,7787,25547,13915,9887,3221,3835,940,2633
53140,5008,5640,5349,6579,8032,8139,5551,2816,50109,344,32,53140,4608,14447,12303,7779,23153,22201,952,19.51341874,6,52926,15778,43159,21647,14976,4943,6126,1556,4305
71012,9015,8477,9311,9283,10335,8234,4725,2126,63419,478,85,71012,5856,18263,14066,7414,36975,35815,1160,26.07615528,8,68575,13369,54065,26771,20112,5159,6683,1612,4211
14523,331,374,532,389,1635,488,246,296,2795,31,0,14523,396,516,563,502,2693,1126,31,119.3021192,78,298456,42641,244790,109104,84208,17935,25187,6007,14102
22039,2788,2675,2568,2882,2982,2607,1746,743,21615,64,2,22039,3160,6699,3632,4591,8481,8116,365,8.092891148,0,21949,4657,16682,9034,6156,2214,2479,605,1693
14876,1553,1643,1609,1909,2114,2127,1441,623,14349,72,11,14876,1839,4114,3023,2339,6041,5779,262,5.462582182,0,14654,3703,11775,5737,3898,1409,1667,419,1167
